"Symbol","Date/Time","Quantity","Price","Commission"
"GLD","2025-03-12 09:30:00","2","268.51","-1.00007"
"GLD","2025-03-12 09:30:02","0.2344","268.5492","-0.000010782"
"GLD","2025-03-12 09:30:03","0.0001","268.56","-0.000000005"
"GLD","2025-04-03 10:18:08","0.6267","287.19","-1.000028828"
"GLD","2025-07-08 14:07:54","0.1","304.64","-0.3046427"
"GLD","2025-09-12 09:56:45","0.87","336.1066","-1.00001914"
"GLD","2025-09-12 09:58:42","0.1688","336.09","-0.567323634"
"GLD","2025-09-23 14:01:37","2","347.79","-0.35070125"
"GLD","2025-09-17 12:45:23","-2","339.34","-0.34783325"
"GLD","2025-10-09 09:47:54","-4","369.8","-0.35180925"
"KSA","2025-07-08 13:54:40","4","38.895","-1.000108"
"KSA","2025-09-22 10:43:26","2","38.215","-0.35070125"
"KSA","2025-10-14 13:30:13","10","40.835","-0.35247725"
"KSA","2025-10-10 10:59:18","-6","40.4214","-0.35258525"
"REIT","2025-03-12 09:35:46","0.0004","27.38","-0.010000018"
"REIT","2025-03-12 09:35:46","10","27.378","-0.99046"
"REIT","2025-03-12 09:35:46","0.9576","27.3669","-0.00004405"
"REIT","2025-04-03 10:16:45","0.386","26.58","-0.102616556"
"REIT","2025-04-03 10:16:45","3","26.58","-0.806505"
"REIT","2025-04-03 10:24:53","2","26.568","-0.531452"
"REIT","2025-04-03 10:24:53","0.0005","26.57","-0.000132873"
"REIT","2025-04-03 10:24:53","0.2583","26.52","-0.068513042"
"REIT","2025-09-12 09:37:00","-16","27.132","-1.003008"
"REIT","2025-09-12 09:37:00","-0.6028","27.13","-0.000113326"
"SLV","2025-03-18 09:57:07","7","31.09","-1.000245"
"SLV","2025-07-08 13:39:03","-7","33.285","-1.001351"
"SNAP","2025-09-22 09:43:40","10","8.98","-0.34047725"
"SNAP","2025-10-10 12:31:03","-10","7.985","-0.35413725"
"SPSK","2025-03-12 09:30:00","30","17.98","-1.00105"
"SPSK","2025-03-12 09:30:00","3","17.98","-0.000138"
"SPSK","2025-03-12 09:30:01","0.3695","17.996","-0.000016997"
"SPSK","2025-03-12 09:30:03","0.0005","18.02","-0.000000023"
"SPSK","2025-04-03 13:13:21","0.1352","18.12","-0.024504459"
"SPSK","2025-04-03 13:13:21","5","18.11","-0.90573"
"SPSK","2025-09-12 09:37:22","-0.5052","18.52","-0.093658018"
"SPSK","2025-09-12 09:37:22","-38","18.522","-0.91358096"
"SPTE","2025-03-12 09:37:02","22","26.47","-1.00077"
"SPTE","2025-03-12 09:37:02","0.6671","26.469","-0.000030687"
"SPTE","2025-04-03 10:23:51","6","24.515","-1.000276"
"SPTE","2025-04-03 10:23:51","0.1183","24.59","-0.000005442"
"SPTE","2025-04-03 10:27:24","0.3413","24.59","-0.08394137"
"SPTE","2025-04-03 10:27:24","7","24.515","-0.91639633"
"SPTE","2025-07-08 14:09:54","1","31.31","-0.313127"
"SPTE","2025-09-23 11:16:54","-0.1267","34.76","-0.04412245"
"SPTE","2025-09-23 11:16:54","-37","34.845","-0.32053996"
"SPUS","2025-03-12 09:30:00","22","39.83","-1.00077"
"SPUS","2025-03-12 09:30:00","0.596","39.83","-0.000027416"
"SPUS","2025-04-03 10:23:22","0.1942","37.53","-0.072892193"
"SPUS","2025-04-03 10:23:22","7","37.53","-0.92736174"
"SPUS","2025-04-03 10:24:26","0.0002","37.52","-0.010000009"
"SPUS","2025-04-03 10:24:26","3","37.52","-0.990138"
"SPUS","2025-04-03 10:24:26","0.9978","37.515","-0.000045899"
"SPUS","2025-07-08 14:04:51","0.2118","44.73","-0.094743859"
"SPUS","2025-07-08 14:04:51","1","44.73","-0.450272"
"SPUS","2025-09-22 10:52:14","9","49.135","-0.35225525"
"SPUS","2025-09-23 14:04:11","20","49.01","-0.32269725"
"SPUS","2025-09-24 13:19:59","10","48.845","-0.38197725"
"SPUS","2025-10-14 13:12:43","75","49.43","-0.59190725"
"SPUS","2025-10-16 15:57:54","20","49.335","-0.35469725"
"SPUS","2025-10-10 11:27:14","-74","49.435","-0.37896925"
